Judul,Date,Link
[SALAH] Akun Whatsapp Bupati Cianjur Berikan Bantuan untuk Pesantren,"September 4, 2021",https://turnbackhoax.id/2021/09/04/salah-akun-whatsapp-bupati-cianjur-berikan-bantuan-untuk-pesantren/
[SALAH] Muammar Gaddafi Prediksi Covid-19,"September 4, 2021",https://turnbackhoax.id/2021/09/04/salah-muammar-gaddafi-prediksi-covid-19/
[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang,"September 3, 2021",https://turnbackhoax.id/2021/09/03/salah-obat-covid-19-molnulpiravir-mulai-beredar-september-mendatang/
"[SALAH] Artikel lanjutbaja.site: “Innalillahi, Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 20 Jamaah Meninggal Dunia, Semoga Husnol Khotimah Aminn”","September 3, 2021",https://turnbackhoax.id/2021/09/03/salah-artikel-lanjutbaja-site-innalillahi-masjid-meledak-saat-waktu-sholat-jumat-sebanyak-20-jamaah-meninggal-dunia-semoga-husnol-khotimah-aminn/
[SALAH] Foto “Safiya Firozi salah satu dari 4 empat pilot wanita Angkatan Udara #Afghanistan dirajam sampai MATI oleh #Taliban”,"September 1, 2021",https://turnbackhoax.id/2021/09/01/salah-foto-safiya-firozi-salah-satu-dari-4-empat-pilot-wanita-angkatan-udara-afghanistan-dirajam-sampai-mati-oleh-taliban/
[SALAH] “2 gambar wanita Kabul 1970 – 2021”,"September 1, 2021",https://turnbackhoax.id/2021/09/01/salah-2-gambar-wanita-kabul-1970-2021/
[SALAH] Foto Gadis Remaja Tewas Dibuang Pacarnya ke Sungai,"Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-foto-gadis-remaja-tewas-dibuang-pacarnya-ke-sungai/
[SALAH] Akun Facebook Asisten I Kota Padang,"Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-akun-facebook-asisten-i-kota-padang/
"[SALAH] Munarman Kritis Total, nasibnya memilukan","Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-munarman-kritis-total-nasibnya-memilukan-2/
[SALAH] Pernyataan Dr. Ir. Hj. Sri Nurdiati “Panik karena masker sampai lupa Pentingnya Antibodi”,"Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-pernyataan-dr-ir-hj-sri-nurdiati-panik-karena-masker-sampai-lupa-pentingnya-antibodi-2/
[SALAH] “Madagaskar keluar dari WHO”,"Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-madagaskar-keluar-dari-who/
[SALAH] Wakil Walikota Cirebon bagikan Informasi pembagian Donasi,"Agustus 31, 2021",https://turnbackhoax.id/2021/08/31/salah-wakil-walikota-cirebon-bagikan-informasi-pembagian-donasi/
[SALAH] Ketua KPU Tabanan I Gede Putu Weda Menjual Mobil Lelangan Melalui Whatsapp,"Agustus 30, 2021",https://turnbackhoax.id/2021/08/30/salah-ketua-kpu-tabanan-i-gede-putu-weda-menjual-mobil-lelangan-melalui-whatsapp/
"[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Mengobati Covid-19","Agustus 30, 2021",https://turnbackhoax.id/2021/08/30/salah-campuran-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-mengobati-covid-19/
[SALAH] Subsidi 189 Juta dari Pertamina,"Agustus 30, 2021",https://turnbackhoax.id/2021/08/30/salah-subsidi-189-juta-dari-pertamina/
"[SALAH] “WAPRES: VAKSIN MERUPAKAN PERINTAH AGAMA DAN HUKUMNYA WAJIB, MENOLAK MASUK NERAKA??”","Agustus 29, 2021",https://turnbackhoax.id/2021/08/29/salah-wapres-vaksin-merupakan-perintah-agama-dan-hukumnya-wajib-menolak-masuk-neraka/
[SALAH] Kartu Nikah Versi Baru dengan Empat Kolom Foto Istri,"Agustus 29, 2021",https://turnbackhoax.id/2021/08/29/salah-kartu-nikah-versi-baru-dengan-empat-kolom-foto-istri/
[SALAH] Foto “Taliban akan memberikan kebebasan kepada wanita”,"Agustus 29, 2021",https://turnbackhoax.id/2021/08/29/salah-foto-taliban-akan-memberikan-kebebasan-kepada-wanita/
"[SALAH] Video “Berita Terkini ~ Deklarasi Ganjar Pranowo Dihadiri Langsung Oleh Jokowi, Megawati Mendadak Bungkam!!”","Agustus 28, 2021",https://turnbackhoax.id/2021/08/28/salah-video-berita-terkini-deklarasi-ganjar-pranowo-dihadiri-langsung-oleh-jokowi-megawati-mendadak-bungkam/
[SALAH] Akun Facebook Bupati Pasuruan Gus Irsyad Meminta Sejumlah Uang,"Agustus 28, 2021",https://turnbackhoax.id/2021/08/28/salah-akun-facebook-bupati-pasuruan-gus-irsyad-meminta-sejumlah-uang/
[SALAH] Video Kota Prabumulih tanpa Korona,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-video-kota-prabumulih-tanpa-korona/
[SALAH] Foto Perempuan Afghanistan di Tahun 1970,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-foto-perempuan-afghanistan-di-tahun-1970/
[SALAH] SMS Sido Muncul Bagikan Hadiah Uang Tunai Rp75 Juta,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-sms-sido-muncul-bagikan-hadiah-uang-tunai-rp75-juta/
"[SALAH] Vaksin Corona Mengandung Babi, Dapat Mengubah DNA, dan Membuat Manusia Jadi Zombie","Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-vaksin-corona-mengandung-babi-dapat-merubah-dna-dan-membuat-manusia-jadi-zombie/
"[SALAH] “Innalilahi Ya Allah, Kabar Duka dari Ustadzah Oki Setiana Dewi Tengah Kritis”","Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-innalilahi-ya-allah-kabar-duka-dari-ustadzah-oki-setiana-dewi-tengah-kritis/
[SALAH] 24 Agustus 2021 ada OTT oleh KPK di Padang,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-24-agustus-2021-ada-ott-oleh-kpk-di-padang/
[SALAH] Loker Penyuluh Antikorupsi bagi Para Napi Koruptor,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-loker-penyuluh-antikorupsi-bagi-para-napi-koruptor/
[SALAH] Video Eksekusi Pendukung Amerika Serikat di Afghanistan,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-video-eksekusi-pendukung-amerika-serikat-di-afghanistan/
[SALAH] Video Meluapnya Bendungan Ngarai di China yang Menyebabkan Banjir Bandang,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-video-meluapnya-bendungan-ngarai-di-china-yang-menyebabkan-banjir-bandang/
[SALAH] Foto Poster Pengumuman Nikah Gratis di KUA se-Sulawesi Selatan,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-foto-poster-pengumuman-nikah-gratis-di-kua-se-sulawesi-selatan/
