judul,tanggal,link
[SALAH] Akun Whatsapp Bupati Cianjur Berikan Bantuan untuk Pesantren,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 04/09/2021",https://cekfakta.com/focus/7512
[SALAH] Muammar Gaddafi Prediksi Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/09/2021",https://cekfakta.com/focus/7511
[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 03/09/2021",https://cekfakta.com/focus/7510
"[SALAH] Artikel lanjutbaja.site: “Innalillahi, Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 20 Jamaah Meninggal Dunia, Semoga Husnol Khotimah Aminn”","Sumber: 
                     
                        Media Daring
 Tanggal publish: 03/09/2021",https://cekfakta.com/focus/7509
[SALAH] Mengonsumsi Banyak Petai Bisa Mengatasi Sakit Kaki hingga Kanker,"Sumber: 
                    WhatsApp                                             Tanggal publish: 02/09/2021",https://cekfakta.com/focus/7508
[SALAH] Ratu Elizabeth Pesan 80 Jersey Cristiano Ronaldo,"Sumber: 
                    Facebook                                             Tanggal publish: 02/09/2021",https://cekfakta.com/focus/7507
[SALAH] Foto “Safiya Firozi salah satu dari 4 empat pilot wanita Angkatan Udara #Afghanistan dirajam sampai MATI oleh #Taliban”,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 01/09/2021",https://cekfakta.com/focus/7506
[SALAH] Kartu Nikah dengan Empat Kolom Foto Istri,"Sumber: 
                    Facebook                                             Tanggal publish: 01/09/2021",https://cekfakta.com/focus/7505
[SALAH] Pesan Berantai Gojek Bagikan Rp 2 Juta Rayakan HUT ke-10,"Sumber: 
                    WhatsApp                                             Tanggal publish: 01/09/2021",https://cekfakta.com/focus/7504
[SALAH] “2 gambar wanita Kabul 1970 – 2021”,"Sumber: 
                     
                        Twitter.com
 Tanggal publish: 01/09/2021",https://cekfakta.com/focus/7503
[SALAH] Video “TERNYATA MENAG YAQUT PINDAH AGAMA DAN DIBAPTIS”,"Sumber: 
                     
                        Youtube.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7502
[SALAH] Foto Gadis Remaja Tewas Dibuang Pacarnya ke Sungai,"Sumber: 
                     
                        Facebook.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7501
[SALAH] Akun Facebook Asisten I Kota Padang,"Sumber: 
                     
                        Facebook.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7500
"[SALAH] Munarman Kritis Total, nasibnya memilukan","Sumber: 
                     
                        Youtube.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7499
[SALAH] “PPKM DILANJUTKAN SAMPAI HARI KIAMAT”,"Sumber: 
                     
                        Facebook.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7498
[SALAH] “Madagaskar keluar dari WHO”,"Sumber: 
                    Whatsapp.com                                             Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7497
[SALAH] Wakil Walikota Cirebon bagikan Informasi pembagian Donasi,"Sumber: 
                     
                        Whatsapp.com
 Tanggal publish: 31/08/2021",https://cekfakta.com/focus/7496
[SALAH] Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000,"Sumber: 
                    facebook.com                                             Tanggal publish: 12/07/2019",https://cekfakta.com/focus/7495
