,judul,tanggal,link
0,[SALAH] Muammar Gaddafi Prediksi Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/09/2021",https://cekfakta.com/focus/7511
1,[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 03/09/2021",https://cekfakta.com/focus/7510
2,"[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Mengobati Covid-19","Sumber: 
                    Whatsapp.com                                             Tanggal publish: 30/08/2021",https://cekfakta.com/focus/7493
3,"[SALAH] Vaksin Corona Mengandung Babi, Dapat Mengubah DNA, dan Membuat Manusia Jadi Zombie","Sumber: 
                     
                        facebook.com
 Tanggal publish: 27/08/2021",https://cekfakta.com/focus/7483
4,[SALAH] Vaksin di Gedung Gradika Bakti ditujukan untuk 18-59 Tahun,"Sumber: 
                     
                        Facebook.com 
 Tanggal publish: 24/08/2021",https://cekfakta.com/focus/7463
5,[SALAH] Pesan Berantai dari Ketua Satgas Covid-19 Dwiyono terkait Metode Menghirup Uap Air Panas untuk Membunuh Virus Corona,"Sumber: 
                    Whatsapp.com                                             Tanggal publish: 23/08/2021",https://cekfakta.com/focus/7456
6,[SALAH] Oseltamivir Obat Covid-19 Berbahaya dan Mematikan,"Sumber: 
                     
                        Twitter.com
 Tanggal publish: 20/08/2021",https://cekfakta.com/focus/7446
7,[SALAH] Informasi Vaksin Dosis 1 dan 2 16 Agustus 2021 di RSAL dr. Ramelan Surabaya,"Sumber: 
                    Whatsapp.com                                             Tanggal publish: 20/08/2021",https://cekfakta.com/focus/7444
8,[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi,"Sumber: 
                     
                        Helo-app.com
 Tanggal publish: 20/08/2021",https://cekfakta.com/focus/7443
9,[SALAH] Covid-19 Singkatan dari Certification of Vaccination Identification Artificial Intelligence,"Sumber: 
                    Facebook                                             Tanggal publish: 16/08/2021",https://cekfakta.com/focus/7413
10,[SALAH] Tidak Boleh Mengonsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin Covid-19,"Sumber: 
                    Whatsapp.com                                             Tanggal publish: 15/08/2021",https://cekfakta.com/focus/7408
11,[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 14/08/2021",https://cekfakta.com/focus/7399
12,[SALAH] Suku Baduy Tidak Divaksin Covid-19,"Sumber: 
                    Facebook                                             Tanggal publish: 09/08/2021",https://cekfakta.com/focus/7382
13,"[SALAH] Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac","Sumber: 
                     
                        Twitter.com 
 Tanggal publish: 09/08/2021",https://cekfakta.com/focus/7380
14,[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19,"Sumber: 
                     
                        Youtube.com
 Tanggal publish: 08/08/2021",https://cekfakta.com/focus/7379
15,[SALAH] Dokumen Bank Dunia Tetapkan Covid-19 Sampai Tahun 2025,"Sumber: 
                     
                        Facebook.com
 Tanggal publish: 08/08/2021",https://cekfakta.com/focus/7377
16,"[SALAH] “Vaksin Corona Tidak Terbukti Aman dan Efektif, Coronavirus Sama seperti Flu Biasa, Ini adalah Pandemi Palsu”","Sumber: 
                     
                        facebook.com
 Tanggal publish: 07/08/2021",https://cekfakta.com/focus/7374
17,"[SALAH] Semua Pasien Positif Covid-19 di New South Wales, Australia Sudah Divaksinasi","Sumber: 
                     
                        Instagram.com
 Tanggal publish: 07/08/2021",https://cekfakta.com/focus/7372
18,[SALAH] Dukun Meninggal karena Covid-19 Setelah Menghirup Napas Pasien Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 05/08/2021",https://cekfakta.com/focus/7364
19,[SALAH] Video Sebut Bocoran Jadwal Varian Covid-19 Diluncurkan,"Sumber: 
                    Facebook                                             Tanggal publish: 04/08/2021",https://cekfakta.com/focus/7363
20,[SALAH] Jadwal Vaksinasi Massal di Royal Plaza Surabaya Tanggal 2-6 Agustus 2021,"Sumber: 
                    Flayer                                             Tanggal publish: 04/08/2021",https://cekfakta.com/focus/7361
21,[SALAH] Vaksin Covid-19 AstraZeneca Dibuat Sejak 2018,"Sumber: 
                    Facebook                                             Tanggal publish: 02/08/2021",https://cekfakta.com/focus/7357
