judul,tanggal,link
Apparel Timnas Indonesia Ingin Terus Hasilkan Produk Kelas Dunia,"SepakbolaMinggu, 05 Sep 2021 02:15 WIB",https://sport.detik.com/sepakbola/liga-indonesia/d-5710289/apparel-timnas-indonesia-ingin-terus-hasilkan-produk-kelas-dunia
"Dorong Vaksinasi Digencarkan, Legislator Ingin Transportasi Darat Bangkit","detikNewsMinggu, 05 Sep 2021 01:03 WIB",https://news.detik.com/berita/d-5710279/dorong-vaksinasi-digencarkan-legislator-ingin-transportasi-darat-bangkit
"Vaksin Merah Putih Tahun Depan Diproduksi, Nanti Gratis atau Bayar?","detikFinanceSabtu, 04 Sep 2021 23:11 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5710239/vaksin-merah-putih-tahun-depan-diproduksi-nanti-gratis-atau-bayar
"Ganjil Genap di Puncak, Calon Pengunjung Batalkan Menginap di Hotel","detikTravelSabtu, 04 Sep 2021 22:46 WIB",https://travel.detik.com/travel-news/d-5710217/ganjil-genap-di-puncak-calon-pengunjung-batalkan-menginap-di-hotel
Kepala UPT Pemakaman Kota Malang Dicopot Karena Bikin Kesalahan Berulang Kali,"detikNewsSabtu, 04 Sep 2021 22:38 WIB",https://news.detik.com/berita-jawa-timur/d-5710229/kepala-upt-pemakaman-kota-malang-dicopot-karena-bikin-kesalahan-berulang-kali
"Overkapsitas Hingga 300%, 367 Napi Rutan Medaeng Asimilasi di Rumah","detikNewsSabtu, 04 Sep 2021 22:03 WIB",https://news.detik.com/berita-jawa-timur/d-5710218/overkapsitas-hingga-300-367-napi-rutan-medaeng-asimilasi-di-rumah
3 Alasan Pemerintah Percepat Sekolah Tatap Muka Terbatas,"detikNewsSabtu, 04 Sep 2021 21:47 WIB",https://news.detik.com/berita/d-5710196/3-alasan-pemerintah-percepat-sekolah-tatap-muka-terbatas
RI Terima 207 Ribu Vaksin AstraZeneca dari Belanda,"detikNewsSabtu, 04 Sep 2021 21:37 WIB",https://news.detik.com/berita/d-5710190/ri-terima-207-ribu-vaksin-astrazeneca-dari-belanda
Kisah Reseller Raup Ratusan Juta dari Produk Makanan Beku,"detikFinanceSabtu, 04 Sep 2021 21:31 WIB",https://finance.detik.com/solusiukm/d-5710186/kisah-reseller-raup-ratusan-juta-dari-produk-makanan-beku
Pengguna Jalan Tol Dapat Uang Elektronik dan Merchandise Gratis,"detikFinanceSabtu, 04 Sep 2021 21:15 WIB",https://finance.detik.com/infrastruktur/d-5710169/pengguna-jalan-tol-dapat-uang-elektronik-dan-merchandise-gratis
